order_id,buyer_id,seller_id,category,region,order_value,commission,is_new_buyer,order_date
O001,B01,S01,electronics,NA,120.00,14.40,true,2024-01-05
O002,B02,S02,electronics,NA,85.00,10.20,false,2024-01-06
O003,B03,S01,electronics,NA,200.00,24.00,true,2024-01-08
O004,B04,S03,clothing,NA,45.00,6.75,false,2024-01-09
O005,B05,S03,clothing,NA,60.00,9.00,true,2024-01-10
O006,B06,S04,clothing,EU,55.00,8.25,false,2024-01-11
O007,B07,S04,clothing,EU,40.00,6.00,true,2024-01-12
O008,B08,S05,home,EU,150.00,18.00,false,2024-01-14
O009,B09,S05,home,EU,175.00,21.00,true,2024-01-15
O010,B10,S06,home,EU,130.00,15.60,false,2024-01-16
O011,B11,S07,electronics,APAC,90.00,10.80,true,2024-01-18
O012,B12,S07,electronics,APAC,110.00,13.20,false,2024-01-19
O013,B13,S08,clothing,APAC,35.00,5.25,true,2024-01-20
O014,B14,S08,clothing,APAC,50.00,7.50,false,2024-01-21
O015,B01,S01,electronics,NA,95.00,11.40,false,2024-01-22
O016,B15,S09,home,NA,160.00,19.20,true,2024-01-23
O017,B16,S09,home,NA,140.00,16.80,false,2024-01-24
O018,B17,S10,electronics,EU,180.00,21.60,true,2024-01-25
O019,B18,S10,electronics,EU,165.00,19.80,false,2024-01-26
O020,B19,S06,home,EU,190.00,22.80,true,2024-01-28
O021,B20,S03,clothing,NA,55.00,8.25,false,2024-01-29
O022,B21,S04,clothing,EU,48.00,7.20,true,2024-01-30
O023,B22,S08,clothing,APAC,42.00,6.30,false,2024-01-31
O024,B23,S07,electronics,APAC,105.00,12.60,true,2024-01-31
O101,B01,S01,electronics,NA,130.00,15.60,false,2024-02-03
O102,B24,S02,electronics,NA,95.00,11.40,true,2024-02-04
O103,B03,S01,electronics,NA,210.00,25.20,false,2024-02-05
O104,B25,S03,clothing,NA,50.00,7.50,true,2024-02-06
O105,B05,S03,clothing,NA,65.00,9.75,false,2024-02-07
O106,B06,S04,clothing,EU,20.00,3.00,false,2024-02-08
O107,B26,S04,clothing,EU,15.00,2.25,true,2024-02-09
O108,B08,S05,home,EU,25.00,3.75,false,2024-02-10
O109,B27,S05,home,EU,30.00,4.50,true,2024-02-11
O110,B10,S06,home,EU,20.00,3.00,false,2024-02-12
O111,B11,S07,electronics,APAC,100.00,12.00,false,2024-02-14
O112,B28,S07,electronics,APAC,115.00,13.80,true,2024-02-15
O113,B13,S08,clothing,APAC,38.00,5.70,false,2024-02-16
O114,B29,S08,clothing,APAC,55.00,8.25,true,2024-02-17
O115,B01,S01,electronics,NA,105.00,12.60,false,2024-02-18
O116,B15,S09,home,NA,170.00,20.40,false,2024-02-19
O117,B30,S09,home,NA,155.00,18.60,true,2024-02-20
O118,B17,S10,electronics,EU,30.00,3.60,false,2024-02-21
O119,B31,S10,electronics,EU,25.00,3.00,true,2024-02-22
O120,B19,S06,home,EU,35.00,5.25,false,2024-02-24
O121,B32,S03,clothing,NA,58.00,8.70,true,2024-02-25
O122,B33,S04,clothing,EU,18.00,2.70,false,2024-02-26
O123,B34,S08,clothing,APAC,45.00,6.75,true,2024-02-27
O124,B35,S07,electronics,APAC,120.00,14.40,true,2024-02-28
