seller_id,seller_name,seller_tier,active_listings,avg_rating,region,report_date
S01,TechMart,gold,45,4.8,NA,2024-01-15
S02,GadgetWorld,silver,22,4.2,NA,2024-01-15
S03,FashionHub,silver,38,4.5,NA,2024-01-15
S04,StyleCo,gold,52,4.7,EU,2024-01-15
S05,HomeEssentials,gold,30,4.6,EU,2024-01-15
S06,LivingSpace,silver,25,4.3,EU,2024-01-15
S07,AsiaElectro,gold,40,4.4,APAC,2024-01-15
S08,PacificStyle,silver,20,4.1,APAC,2024-01-15
S09,AmericaHome,gold,35,4.9,NA,2024-01-15
S10,EuroTech,silver,28,4.0,EU,2024-01-15
S01,TechMart,gold,48,4.8,NA,2024-02-15
S02,GadgetWorld,silver,20,4.1,NA,2024-02-15
S03,FashionHub,silver,40,4.5,NA,2024-02-15
S04,StyleCo,gold,50,4.6,EU,2024-02-15
S05,HomeEssentials,gold,15,4.4,EU,2024-02-15
S06,LivingSpace,silver,12,4.0,EU,2024-02-15
S07,AsiaElectro,gold,42,4.5,APAC,2024-02-15
S08,PacificStyle,silver,22,4.2,APAC,2024-02-15
S09,AmericaHome,gold,37,4.9,NA,2024-02-15
S10,EuroTech,silver,10,3.5,EU,2024-02-15
